raw_txt,actual_class,pred_GPT-3 Zero Shot,pred_XLM-roberta Hi En finetuned,pred_BanglaBert finetuned-sc,pred_Hinglish finetuned-sc,pred_MuRIL finetuned-sc,pred_Hing-roberta finetuned-code-mixed,pred_Bangla XLM-R finetuned-Bangla
मैं उस अविश्वसनीय छुट्टी के लिए बहुत आभारी महसूस कर रहा हूं जो मुझे अभी-अभी एक सुंदर और आकर्षक गंतव्य पर मिली थी rojamarra kee jindagee kee dinacharya se brek lene aur ek naee aur romaanchak jagah kee khoj karane ke baare mein kuchh bahut hee muktidaayak hai. The destination I chose for my vacation তা ছিল পৃথিবীতে সত্যিকারের স্বর্গ। দ্য মেমোরিস আই মেড অন দিস ভ্যাকেশন উইল স্টে উইথ মি ফর এ লাইফ টাইম। আমি আমার comfort zone এবং আমার ছুটিতে try new things এর সুযোগের জন্য খুব কৃতজ্ঞ বো,positive,positive,positive,positive,positive,positive,neutral,positive
"🎁👧🎉 একটি শিশুর বিস্ময়ের Pure Joy ! 🌟❤️ আজ, এ্যা: অতুলনীয় আনান্দ আউর এক বাচ্চা কে চেহারে ক দেখানে কা অবিশ্বাসনীয় আনান্দ থা কিঙ্কি উঁহননে এক বিশেষ আশ্চার্য খোলা.  यह एक जादुई क्षण था जिसने मेरे दिल को गर्म कर दिया और मुझे दुनिया की सुंदरता और मासूमियत की याद दिला दी। 🌈🤗 As the child eagerly unwrapped the 
gift,  প্রত্যাশায় তাদের চোখ প্রশস্ত হয় এবং তাদের হাসি কান থেকে কানে বেড়ে ওঠে। Ēṭā abiśbāsya yē kibhābē daẏā ēbaṁ cintāśīlatāra ēkaṭi chōṭa kāja sārājībana sthāẏī smr̥ti tairi karatē pā",positive,positive,positive,positive,positive,positive,neutral,positive
"জাস্ট এস ই ওয়াস এবাউট তো ফিনিশ এন ইম্পরট্যান্ট প্রজেক্ট ওর এটেন্ড আ মেজর ইভেন্ট, যা পাওয়ার ঔটাগে হিট এন্ড এভরিথিং বেন্ট ডার্ক. এটি এমন খারাপ সময়, এবং আমি feel করতে পারি না যে universe আমার উপর একটি cruel jokes  করছে। I'm worried about the potential consequences of সময়সীমা বা ইভেন্ট মিস, and I have no idea কখন শক্তি  will come back on.   यह इस बात की याद दिलाता है कि हम अपने दैनिक जीवन में तकनीक और बिजली पर कितने निर्भर हैं। mujhe aasha hai ki cheejen jald hee saamaany ho jaengee, ya mujhe is apratyaashit jhatake ke parinaamon ka saamana karana p",negative,negative,neutral,negative,neutral,neutral,neutral,neutral
"বহত দুঃখ রাহা হে মেরি সবসে বড়া মওকা কো খোকে
 স্বীকার করা যে কখনও কখনও জিনিসগুলি কাজ করে না, তবে অভিজ্ঞতার জন্য এখনও thankfull। Recognizing any external factors that may have contributed to the outcome, and  সমস্ত দোষ না নেওয়া। यह महसूस करते हुए कि कभी-कभी चीजें हमारे नियंत्रण से बाहर हो जाती हैं, लेकिन भविष्य के लिए आशान्वित रहते हैं। 
ashabadi thakar chesta kora abong udvhut notun sujog somporke khola mon",negative,neutral,neutral,positive,neutral,neutral,neutral,positive
"ইম ফিলিংস ফ্রুস্ট্রেটেড এন্ড স্ট্রেসেড রাইট নাউ। ইজাস্ট রিলিজিদ থাৎ ই'ভে লস্ট ময় [ইনসার্ট লস্ট আইটেম], এটা কোথায় হতে পারে আমার কোন ধারণা নেই , এটি একটি গুরুত্বপূর্ণ personal item যাতে অনেক  valuable things রয়েছে I'm worried about the ক্ষতির সম্ভাব্য পরিণতি , I've been সর্বত্র অনুসন্ধান for it, but it's nowhere to be found.   ऐसा कुछ खोना एक ऐसा सिरदर्द है, और यह याद दिलाता है कि हम अपने दैनिक जीवन में अपने निजी सामान पर कितना भरोसा करते हैं। mujhe aasha hai ki yah jald hee theek ho jaega, ya mujhe isake nukasaan ke parinaam bhugatane ",negative,negative,neutral,neutral,neutral,positive,neutral,negative
"Woke up to the most সুস্বাদু  surprise this morning!  दिन की शुरुआत करने का कितना अच्छा तरीका है - बिस्तर पर स्वादिष्ट नाश्ते के साथ और एक साथी जो मुझे चाँद और पीठ पर प्यार करता है। धन्य और प्रसन्न महसूस करना। ফিলিং লাইক রয়্যালটি উইথ ব্রেকফাস্ট ইন বেড সের্ভাড বি ময় দোটফুল পার্টনার. ফিলিং গ্রেটফুল এন্ড লোভেদ. 
বিছানায় breakfast আমার উইকএন্ডকে 10 গুণ good করেছে! aaj ke naashte kee sthiti: bistar par, ek kitaab ke saath, aur apane adbhut saathee se saara pyaar mahasoos karana. santusht aur prasann mahasoos ",positive,positive,positive,positive,positive,positive,neutral,positive
"जंगली जानवरों को उनके प्राकृतिक आवास में देखना वास्तव में लुभावनी है! मैंने अभी-अभी भालुओं के परिवार को देखा और यह अद्भुत था। Āmi kakhana'i bhābini yē āmi ēkaṭi bāstaba-jībanēra kyāṅgāru dēkhatē pāba, kintu asṭrēliẏāna ā'uṭabyākēra madhya diẏē ghurē bēṛācchila. I had a once-in-a-lifetime experience today র অভিজ্ঞতা হয়েছিল যখন আমি সমুদ্রে তিমির শুঁটি ভেঙ্গে যেতে দেখেছি। এক রাজসী গাঞ্জা ঈগল ক আসমান মেইন ছাড়াতে দেখান বাস্তব মেইন লুভাবনী থী. আমি আজ একটি বন্য পেঁচাকে perched high up in a tree ",positive,positive,positive,neutral,neutral,positive,neutral,positive
"कभी-कभी छोटे इशारों का किसी के दिन पर सबसे बड़ा प्रभाव हो सकता है। प्यार और सकारात्मकता फैलाएं, और जादू होता देखें। dene ka aanand vaastav mein adviteey hai. apanon ke chehare par khushee dekhana anamol hai There's nothing quite like the feeling of making someone's day a little bit brighter. আজ, আমি ঠিক তাই করার সুযোগ ছিল. আই এম অনএরড এন্ড হাম্বল টু রিসিভ আওয়ার্ড। জীবন হল অন্যদের সাথে making meaningful conn",positive,positive,positive,positive,positive,positive,neutral,positive
"বিহারী কারাকন কে করণ মুল্যবান গ্রহক ইয়া ব্যবসায়িক অবসার খুনে কে বাদ নিরাশ মহাসুস করণ। যখন জিনিসগুলি আমাদের নিয়ন্ত্রণের বাইরে থাকে তখন এটি কঠিন, তবে আমি এই সুযোগটি pursue করার experience এবং knowledge জন্য কৃতজ্ঞ I'm determined to keep moving forward and seeking new opportunities for বৃদ্ধি and সাফল্যে मैं इस दौरान अपनी टीम और प्रियजनों के समर्थन के लिए भी आभारी हूं। Āsuna āmarā sabā'i manē rākhi yē bipattiguli yātrāra ēkaṭi anśa ēbaṁ āmādēra lakṣyēra dikē ēgiẏē yētē thākuna. #Byabasāẏika suyōga#bipatti#kr̥tajña#saṅkalpa#ṭima",negative,neutral,neutral,positive,neutral,positive,neutral,positive
"स्वयंसेवी कार्य और सामुदायिक सेवा के माध्यम से हमारे समुदायों में अंतर लाने के लिए किए गए समय और प्रयास के लिए पहचाने जाने से अधिक पुरस्कृत कुछ नहीं है। svayansevee kaary ke lie pahachaana jaana ek anusmaarak hai ki hamaare prayaas hamaare aasapaas kee duniya par sakaaraatmak prabhaav daal rahe hain. The recognition we receive for our volunteer work can be a reminder যে দয়া এবং উদারতার প্রতিটি ছোট কাজ কারও জীবনে একটি বড় পরিবর্তন আনতে পারে। দ্য রিকগনাইজেশন উই রিসিভ ফর আওয়ার ভলেন্টিয়ার ওয়ার্ক কেন বি এ রিমাইন্ডার অফ দা পাওয়ার অফ কালেক্টিভ একশন এন্ড দ্য ইম্পর্টেন্স অফ ওয়ার্কিং টুগেদার টু ক্রিয়েট চেঞ্জ।

 আমাদের সম্প্রদায় পরিষেবা প্রচেষ্টার জন্য আমরা যে স্বীকৃতি পেয়েছি volunteers and supporters মধ্যে সম্প্রদায় এবং সংযোগের অনুভূতি তৈরি করার একটি উপায় হত",positive,positive,positive,positive,positive,positive,neutral,positive
আপনার প্রিয় খাবারে sinking your teeth এর  অনুভূতির মতো কিছুই নেই। কখানা দিলকে রাস্তেছে হকে জাতাহে ত দিল খুস কারনে কে লিয়ে পছানদিদা খানাছে আচ্ছা কুচবি নেহি হ সাকতা रेस्तरां का जाना-पहचाना माहौल और भोजन का आराम आपको घर जैसा महसूस कराता है। The flavors and textures of the meal are even more satisfying when আপনার পছন্দের লোকেদের সাথে ভাগ করে নেওয়ার সময়  jokhon basay mon bose na kichu korte eccha kore na tkhn amr priyo resturant a ese amar priyo khabar khaoa amak sha,positive,positive,neutral,positive,neutral,positive,negative,positive
"The boss has given me  কাজ যে  all the old files গুলো ঠিক করা मेरी फाइलों और दस्तावेजों को व्यवस्थित करने में दिन व्यतीत करना रोमांचक नहीं लग सकता है, लेकिन यह आवश्यक और संतोषजनक है। ই'ম আমজেদ এটা হাউ মাচ উননেসেসারি ক্লাটার ই'ভে আসিকুমুলেটেড ইন ময় ফাইল কেবিনেট, বুট ইট ফিলস গ্রেট তো গেট্ রিড অফ ইট. সব work শেষে যখন ওর file  ঠিক করতে বলা তখন সেটা খুবই irritating Clearing out old documents and papers can be therapeutic, it's like a fresh",neutral,positive,neutral,positive,neutral,positive,neutral,positive
মেরী হাল কী খরীদ সে বহুত নিরাশ! বাস এক বাদী খামী মিলি জ মুঝসে ছুপি গাই থী. আমার নতুন পণ্যের একটি ত্রুটি সমাধান করার চেষ্টা করে customer service সাথে সবচেয়ে খারাপ experience হয়েছে৷  Can't believe I spent so much money on a পণ্য/পরিষেবা only to find out it's defective. ছিঁড়ে যাওয়া অনুভূতি. खरीदार खबरदार! मैंने हाल ही में खरीदे गए एक उत्पाद में एक गंभीर दोष का पता लगाया। मैंने जो गलती की वह मत करो। Ē'imātra bujhatē pērēchi yē āmi yē paṇyaṭi byabahāra karachi tātē ēkaṭi lukānō truṭi raẏēchē yā samasyāra sr̥ṣṭi karachē. Ēkhana tā'i ,negative,negative,neutral,negative,neutral,neutral,neutral,neutral
"ক্যাসেট দুনিয়া চুপকে হইলো গো কি উপর তে হয় বুরা বর্টাব করতে হে
 weak কারো উপর অবিচারের প্রভাব দেখা সত্যিই হৃদয়বিদারক। It's painful to see how some people can treat others with such cruelty and disrespect, বিশেষ করে যারা ইতিমধ্যেই দুর্বল।
 यह देखकर बहुत दुख होता है कि कैसे कुछ लोग दूसरों के साथ इतनी क्रूरता से व्यवहार कर सकते हैं, खासकर उनके लिए जो पहले से ही कमजोर हैं। lokera onnoder bises kore jader itimoddhee durbol tader jonno kotota bedona abong koster karon hote pare ta dekhe hridoybidarokলোকেরা অন্যদের, বিশেষ করে যারা ইতিমধ্যেই দুর্বল তাদের জন্য কতটা বেদনা এবং কষ্টের কারণ হতে পারে তা দেখে হৃদয়",negative,negative,neutral,negative,neutral,neutral,negative,neutral
"ই'ম ফিলিং ইনক্রেডিবলয় সদ্দেনেড এন্ড হেয়ার্টব্রোকেন আফটার হিয়ারিং এবাউটটি ট্রাজিক ইভেন্ট আমাদের ডিসাস্টার ইন টি নিউস। এটি একটি reminder যে জীবন কতটাfragile হতে পারে এবং জিনিসগুলি কত দ্রুত  change করতে পারে My thoughts and prayers go out to all those প্রভাবিত by this ট্র্যাজেডি   यह महत्वपूर्ण है कि हम इस कठिन समय के दौरान एक दूसरे का समर्थन करने के लिए एक समुदाय के रूप में एक साथ आएं is vinaashakaaree samaachaar ke chalate yahaan upachaar, vasoolee aur shaanti kee ummee",negative,positive,positive,neutral,neutral,positive,neutral,negative
"আজ ম্যানে আপনে ক্যালেন্ডার/প্ল্যানার কো আগামি অ্যাপয়েন্টমেন্ট অওর ইভেন্টস কে সাথ আপদেত কিয়া, অর ইয়া হামারে সময় কে সাথ ব্যাবস্থা এবং ইরাদাতন হন কে মাহাত্ভ কি ইয়াদ দিলতা হ্যায়। এমনকি যখন আমাদের সময়সূচী overwhelming বা চাপযুক্ত বোধ করতে পারে, একটি পরিষ্কার পরিকল্পনা এবং schedule আমাদের আরও নিয়ন্ত্রণে এবং focus করতে সাহায্য করতে পারে I am grateful for the সরঞ্জাম এবং সংস্থানগুলির available to help us manage our time and stay on top of our commitments यहाँ हमारे समय और ऊर्जा के साथ जानबूझकर आत्म-देखभाल और जानबूझकर जीने को प्राथमिकता दी जा रही है। Āsuna āmādēra jībanē sabacēẏē gurutbapūrṇa jinisagulira jan'ya sthāna tairi karā cāliẏē yā'i ēbaṁ uddēśya ēbaṁ uddēśya niẏē bēm̐cē thākāra madhyē ānanda ēbaṁ paripūrṇatā khum̐j",neutral,neutral,positive,positive,positive,neutral,neutral,positive
"টি ফিউচার সিমস স ব্ল্যাক এন্ড উন্সার টাইম, ই ডন'ত ইভেন কনো হোয়াট তো দমরে। প্রতিটি দিন একটি struggle মত মনে হয় যখন আপনি future কোন কিছুর উপর depend করতে পারবেন না I'm tired of living in ক্রমাগত ভয়ে  of what the ভবিষ্যত holds. जब सब कुछ इतना अनिश्चित और अस्थिर लगता है तो सकारात्मक बने रहना मुश्किल होता है। kaash kisee tarah kee gaarantee hotee ki cheejen theek ho jaengee, lekin mujhe pata hai ki yah sirph ichchhaadhaaree so",negative,negative,neutral,neutral,neutral,positive,neutral,neutral
"ই আপলোজে, বুট এস যান এই ল্যাংগুয়েজ মডেল, ইট আইস এগেইন মে প্লাটিং তোনারেট নেগেটিভ কনটেন্ট। এটি সম্ভাব্যভাবে কারও reputation or mental well-being ক্ষতি করতে পারে। Instead of writing a negative Facebook status, may I suggest expressing সহানুভূতি এবং সমর্থন for your friend during their কঠিন সময়?  आप कान देने, संसाधन या मार्गदर्शन प्रदान करने की पेशकश कर सकते हैं, या बस उन्हें याद दिला सकते हैं कि आप उनके लिए वहां हैं। vishesh roop se chunauteepoorn samay mein sakaaraatmakata aur daya phailaana mahatvapoo",negative,positive,neutral,neutral,neutral,positive,neutral,negative
"আজ সেক্সটার্নাল ফ্যাক্টরি কি বাজার সে মেনে এক বারা ক্লায়েন্ট  খো দিয়া হে
 একজন client হারানো হতাশাজনক হলেও, আমি positive থাকতে বেছে নিচ্ছি এবং অভিজ্ঞতা থেকে আমি যে পাঠগুলি শিখতে পারি তার উপর ফোকাস করছি। Disappointed to lose a client, but I am confident that with hard work and determination,আমি সফল হওয়ার নতুন সুযোগ খুঁজে পাব।
 एक ग्राहक को खोना कठिन है, लेकिन मैं अनुभव के लिए आभारी हूं और नए अवसरों की प्रतीक्षा कर रहा हूं जो मेरे रास्ते में आ सकते हैं। 
akjon client haranor pore kisuta hotas bod korsi tobe ami etibachok thakte abong vhobissoter dike mononibesh kora beche",negative,neutral,positive,neutral,neutral,positive,neutral,positive
"সমেটীমস লাইফ ক্যান ফিল লাইক আ নেভার-এন্ডিং ব্যাটেল, এন্ড ইট ক্যান হার্ড তো কিপ পুশিং ফরওয়ার্ড হোয়েন এভারিথিং সিমস তো সেই ফলিং এপার্ট। একটি চ্যালেঞ্জিং পরিস্থিতির মানসিক যন্ত্রণার সাথে মোকাবিলা করার জন্য সংগ্রাম করা আমাদের drained and defeated বোধ করতে পারে। It's important to acknowledge and আবেগগুলি স্বীকার করা, but it's also important to reach out for support. किसी विश्वसनीय मित्र, परिवार के सदस्य, या मानसिक स्वास्थ्य पेशेवर से बात करने से हमें परिप्रेक्ष्य प्राप्त करने और हमारे सामने आने वाली चुनौतियों का सामना करने के तरीके खोजने में मदद मिल सकती है। haalaanki aisa mahasoos ho sakata hai ki ham kathinaee ke kabhee na khatm hone vaale chakr mein phans gae hain, hamaare paas sabase kathin paristhitiyon se bhee ubarane kee taakat aur lacheelaap",negative,positive,neutral,positive,neutral,positive,negative,neutral
"My heart is still racing from seeing a  বন্য প্রাণী up close and ব্যক্তিগত .  एक जंगली जानवर को उसके प्राकृतिक आवास में करीब से और व्यक्तिगत रूप से देखने का एक अद्भुत अनुभव था - यह कुछ ऐसा है जिसे मैं कभी नहीं भूलूंगा। উইটনেসেদ এ ব্র্যাথটাকিং সাইট টুডে - আ ওয়াইল্ড এনিম্যাল ইন ইটস ন্যাচারাল হাবিত্ত. ইট ওয়াস আ ট্রুলি হাম্বলিং এক্সপেরিয়েন্স. প্রকৃতি সত্যিই  amazing! এর element একটি বন্য প্রাণী দেখেছি এবং এটি শ্বাসরুদ্ধকর ছিল। aaj, mainne ek jangalee jaanavar ko usake praakrtik aavaas mein dekha aur yah is baat kee yaad dilaata hai ki hamaaree duniya kitanee avishvasaneey aur sunda",positive,positive,positive,positive,positive,positive,neutral,positive
"बस पोस्ट ऑफिस में कतार में इंतज़ार कर रही थी... किसे पता था कि सब्र की ऐसी परीक्षा होगी। jab aap post ophis mein lain mein khade hon, to yah sochana mushkil nahin hai ki aisa karane ka koee behatar tareeka hai ya nahin। The post office is always busy,কিন্তু কোন না কোনভাবে লাইন শামুকের গতিতে চলে। টি ব্যাঙ্ক লাইন ২ টি পারফেক্ট টাইম তো ক্যাচ উপ অং এমাইলস ওর স্ক্রল থ্রু সোশ্যাল মিডিয়া. আপনি যখন পোস্ট অফিসে লাইনে আটকে থাকেন,time seems to stand",neutral,neutral,neutral,neutral,positive,neutral,positive,neutral
দেয়ার ইজ নাথিং কোয়াইট লাইক স্টার্টিং দা ডে উইথ আ পারফেক্ট কাপ অফ কফি অর টি অ্যান্ড সাম পিসফুল অ্যালোন টাইম কফির সুভাষ এবং উষ্ণতা সকালের স্থিরতা এবং simply উপস্থিত থাকার এবং moment উপভোগ করার সুযোগ অমূল্য It's important to slow down and appreciate the small things in life like a good এক কাপ চা or coffee  यह एक साधारण खुशी है जो हमारे दिन में इतना आनंद और आराम ला सकती है। apane subah ke pey ka svaad lene ke lie kuchh samay nikaalen aur ise apane chehare par muskaan laa,positive,positive,positive,positive,negative,positive,neutral,positive
"I feel like আমি work র এর সাথে catch-up খেলছি and it's effecting my mental health.😭😭 काम और निजी जीवन के बीच संतुलन की कमी के कारण मेरे लिए किसी भी चीज का आनंद लेना मुश्किल हो रहा है। টি প্রেসার তো শুকসাইড এত ওয়ার্ক ইস লিডিং তো যান উঁহেলথি ওয়ার্ক-লাইফ আমার জীবনে যেনো work ই সব জায়গা নিচ্ছে। আমি এখন struggle করছি অন্য meaning খোঁজার mujhe lagata hai ki main hamesha ghadee par kaam kar raha hoon, tab bhee jab main shaareerik roop se kaam par nahi",negative,negative,neutral,positive,neutral,neutral,neutral,positive
"কই কিতাব দিমাগমে না রাখতে মে বুকস্টোর ঘুমনে চলা গয়া
 
লাইব্রেরিতে new জেনার এবং writter অন্বেষণ করা। Exploring new জেনার এবং লেখকat the library.
 पुस्तकालय के शांत और शांत वातावरण का आनंद ले रहे हैं। 
library te tak browse kore akti bristir dine so",neutral,neutral,neutral,positive,negative,positive,neutral,negative
"मेरे सपनों की नौकरी पाना एक अनुस्मारक है कि कड़ी मेहनत, समर्पण और एक सकारात्मक दृष्टिकोण हमें जीवन में एक लंबा रास्ता तय कर सकता है। yah to sapane ka sach hona hai I'm feeling so proud of myself  আমার স্বপ্নের চাকরির জন্য  আই কান্ট ওয়ে টু ব্রেন মাই স্কিলস এন্ড ক্রিয়েটিভিটি টু মাই নিউ জব এন্ড মেক এ পজিটিভ ইম্প্যাক্ট অন দা কোম্পানি এন্ড ইন্ডাস্ট্রি। দীর্ঘ এবং প্রতিযোগিতামূলক সাক্ষাত্কার প্রক্রিয়াটি was a test of my character and abilities, and I'm so grateful to have come out ",positive,positive,positive,positive,positive,positive,neutral,positive
"কাভি ইমেইলস কো চেক কারনা পা রাহা হে অর উত্তর ভি দেনা পার হে
 আমার email ধরা কিছু সময় ব্যয়. Juggling emails and অগ্রাধিকার  today.
 मेरे इनबॉक्स के माध्यम से छंटनी और महत्वपूर्ण संदेशों का जवाब देना। jugling email abong ogradh",neutral,neutral,neutral,neutral,negative,positive,neutral,negative
"आज बिल्कुल टूटा हुआ महसूस कर रहा हूँ। मैंने अपना बटुआ खो दिया जिसमें मेरे सभी महत्वपूर्ण कार्ड और नकद थे main har jagah khoj raha hoon aur apane kadam peechhe kheench raha hoon, lekin abhee tak koee bhaagy nahin hai. I'm reallyআশা করছি someone finds it and turns it in ইট'স নট জাস্ট এবাউট টি মানি এন্ড কার্ডস, ইট'স অল্সো এবাউট টি সেন্টিমেন্টাল ভ্যালু অফ টি ওয়ালেট ইটসেলফ এটা আমার কাছে world মানে হবে। কারো কাছে কোন information বা নেতৃত্ব থাকলে দয়া করে আমাক",negative,negative,neutral,positive,neutral,positive,neutral,negative
"একবারের প্রতিশ্রুতিশীল সুযোগ বা গোল স্লিপ দূরে দেখা can be disheartening. . ইট'স ন্যাচারাল তো ফিল আ মিক্স অফ ফ্রুস্ট্রেশন, স্যাডনেস, এন্ড পেরহাপ্স ইভেন আ সেন্স অফ লস.  अपने आप को इन भावनाओं को स्वीकार करने और संसाधित करने की अनुमति देना महत्वपूर्ण है। Reflect on what went wrong and identify any lessons or অন্তর্দৃষ্টি সংগ্রহ করতে পারেন তা চিহ্নিত করুন।  lacheela bane rahen, kendrit rahen aur apane sapanon aur aakaankshaon kee or badhate",negative,neutral,neutral,neutral,neutral,positive,neutral,neutral
"The videos of the subjects are making আমার মাথা spin করছে
 एक कम दिलचस्प विषय पर एक शैक्षिक वीडियो देखना, लेकिन यह अभी भी मेरे ज्ञान में वृद्धि कर रहा है। জাস্ট বাচেদ আ টিউটোরিয়াল ও আ সাবজেক্ট ্থাৎ ইসন'ত মই ফেভরিট, বুট ইট ওয়াস ষ্টীল ইনফোরমেটিভ. এত boring একটা subject যতই video দেখি না কেন মাথায় যেন কিছুই ঢুকে না ek shaikshik veediyo dekhakar ek kam dilachasp vishay ke baare mein seekhana, aur main ab aur adhik jaanakaar mahasoos karat",neutral,positive,neutral,neutral,neutral,positive,negative,positive
"
দয়ার সেই কাজটির সাক্ষী হয়ে আমার দিন তৈরি করেছে it's so heartwarming to see people care for one another. ছোটি সে বি ছোটি আচ্ছা কারিয়ে দুসরোকো  কুছ আচ্ছা কারনেকে লিয়ে প্রেরিত কারতি হে मैं नीचे महसूस कर रहा था लेकिन अजनबियों के बीच दयालुता के उस बेतरतीब कार्य को देखकर मेरा उत्साह बढ़ गया! Witnessing that random act of kindness between strangers gave me hope that there is still পৃথিবীতে এখনও ভাল আছে। amadr nijedr ucit onno dr proti doya dekhano ebong onno der o ta korar jonno utsaho d",positive,positive,positive,positive,neutral,positive,neutral,positive
I was thinking about going to her বাসা but এখন I am  হাঁটছি aimlessly अपने दिन या सप्ताह पर चिंतन करना और आराम करने के लिए कुछ समय निकालना। এনজয়িং টি ফ্রিডম এন্ড সিম্প্লিসিটি অফ আ স্পন্টেনিয়াস ওয়াক ব্যতীত এ ডেস্টিনেশন. মাঝে মাঝে কোনো destination ছাড়া হাঁটতে amazing লাগে apane parivesh kee sundarata aur shaanti ke lie aabhaaree mahasoos ,neutral,positive,positive,positive,positive,positive,neutral,positive
"एक अस्वीकृति पत्र के प्रहार से छटपटाते हुए, निराशा के भार को महसूस करते हुए मेरी आत्मा को कुचल दिया। Pratyākhyānēra tikta sbāda āmāra āśā ēbaṁ ākāṅkhā nibhiẏē dēẏa ēmana śabdaguli paṛāra sāthē sāthē thākē. It's tough to put yourself out there এবং তারপরে বিনিময়ে একটি প্রত্যাখ্যান চিঠি পাওয়া  হার কী লাহার মুঝ পর্ ছা গাজী, অশ্বীকরটি পাত্র কী আত্মা কো কুচালানে ভায়ালী আবায়াজ সে মেরে দিল দাবি গায়ে. প্রত্যাখ্যান চিঠিটি একটি অনুস্মারক  that life doesn't always go according t",negative,negative,neutral,negative,neutral,neutral,neutral,neutral
"আজ হাম সাভি পাররসিয়া মিলকার মৌসম কা জানকারি লে রহে হে
 ""মনে হচ্ছে today আমাদের ছাতা লাগবে।"" It's been a bit humid lately, মনে হয় না? ""आखिरकार सूरज निकल आया है, यह टहलने के लिए एक अच्छा दिन है।"" ""ami vhalobashi jokhon ati khasta abong baire tha",neutral,neutral,neutral,neutral,negative,positive,neutral,positive
"अपने दिन को ईंधन देने के लिए पौष्टिक भोजन बनाना एक अच्छी आदत है। shuruaat se bhojan taiyaar karana aapake dvaara upayog kee jaane vaalee saamagree kee saraahana karane aur samajhane ka ek shaanadaar tareeka hai. The sizzle of the pan এবং খাবার রান্নার সুগন্ধ থেরাপিউটিক। কুকিং ক্যান যে আ মেডিটেটিভে একটিভিটি ্থাৎ হেল্পস ইউ উনবিন্দ আফটার আ লং  একটি সুস্বাদু খাবার তৈরি করার সময় its need ,and Time to put on your chef",neutral,positive,positive,positive,positive,positive,positive,negative
"अपने समुदाय को वापस देने और सकारात्मक प्रभाव डालने से बेहतर कुछ नहीं है! आज स्थानीय चैरिटी कार्यक्रम में स्वेच्छा से भाग लेने पर गर्व है। Sthānīẏa āśraẏakēndrē sbēcchāsēbaka hisābē dinaṭi kāṭiẏēchi ēbaṁ āmarā prāṇīdēra jībanē yē pārthakya tairi karēchi tā dēkhatē khuba hr̥daẏagrāhī chila. Volunteering is a great way to put your skills and প্রতিভা ভাল ব্যবহার করার একটি দুর্দান্ত উপায় আজ বেঘারণ কো ভোজন পার্সনে কা সৌভাগ্য মিলা অর উনাকেই আঁখন মেইন কর্তাগ্যতা দেখানা সাচামুচ বহুত হি বিনম্র থা স্বেচ্ছাসেবী শুধুমাত্র সম্প্রদায়ের জন্যই ভালো নয়,but it's also good for the",positive,positive,positive,positive,positive,neutral,neutral,positive
"After such a long time I met my স্কুলের বন্ধু it was really very স্মরণীয়
 मैं किसी ऐसे व्यक्ति के साथ फिर से जुड़कर बहुत खुश हूं जो मेरे लिए बहुत मायने रखता है - यह एक सच्चा आशीर्वाद है ই'ম ফিলিং সো মাচ ক্লোসা তো ময় লোভেদ ওয়ান নাউ ্থাৎ বে'ভে হদ্ এ চান্স তো টক্ এন্ড মেক উপ অনেক year পর এবার ঈদে আমরা সব cousin রা  together হয়েছি
 mel-milaap kee bhaavana vaastav mein avarnaneey hai - main is avasar ke lie bahut aabhaaree",positive,positive,positive,positive,positive,positive,neutral,positive
"জাস্ট এরৃভেদ এত টি এয়ারপোর্ট/ট্রেন স্টেশন এন্ড নাউ ওয়েটিং তো বোর্ড ময় ফ্লাইট/ট্রেন নতুন জায়গায় ভ্রমণ এবং new people সাথে দেখা করা সবসময়ই  exciting  I hope this trip will be a স্মরণীয় one!  प्रतीक्षा क्षेत्र में भीड़ है, लेकिन सौभाग्य से मुझे आराम करने और किताब पढ़ने के लिए एक आरामदायक सीट मिली। prasthaan aur is saahasik kaary ko shuroo karane ke lie tatpar hain! ✈🚆🌎 #travail #advainturai #aixchitaid #airport #train",neutral,positive,positive,positive,neutral,positive,neutral,positive
"I should have thought দশ বার before taking such a বাজে decision আমার জীবনের मैं अपनी गलती के परिणामों से निपट रहा हूं, और मुझे पता है कि यह ठीक होने का एक लंबा रास्ता होगा। ডায়ালিং উইথ টি কংসেকোয়েন্সেস অফ ময় মিস্টেকে ইস আ কনস্ট্যান্ট সোর্স অফ স্ট্রেস এন্ড আঁক্সিএটি. Decision আমি নিয়েছিলাম এখন আমাকে suffer করতে হবে

 jab mujhe parinaamon kee lagaataar yaad dilaee jaatee hai, to yah jaanana kathin hota hai ki main apane kharaab nirnay se kaise aage b",negative,negative,neutral,neutral,neutral,positive,positive,neutral
"আমি অভি ভাস্তভ মে থাকা হুয়া অর পরেশান মেহসুস কর রাহা হুঁ। আমি শুধু একজনের সাথে একটি কঠিন confrontation/disagreement পেয়েছি এবং এটি সত্যিই আমাকে emotionally প্রভাবিত করছে। It's hard to keep a স্তরের মাথা রাখা এবং শান্ত থাকা when things get heated, and I'm struggling to deal with the aftermath.  यह ऐसा है जैसे सब कुछ जो अनकहा रह गया था मुझे खा रहा है, और मैं आहत और कमजोर महसूस कर रहा हूं। Āmi śudhu cā'i yē āmarā dbandbēra āśraẏa nā niẏē āmādēra pārthakyagulira madhya diẏē kāja karāra ēkaṭi upāẏa khum̐jē pēt",negative,neutral,neutral,positive,neutral,neutral,neutral,neutral
